,StartTime,RunTime,Query
32,2018-04-16 22:27:03.760124,0.944,SHOW COLUMNS FROM `winecellar`.`ortal18`
33,2018-04-16 22:27:04.039061,0.828,SHOW COLUMNS FROM `winecellar`.`ortal19`
34,2018-04-16 22:27:04.099303,0.749,SHOW COLUMNS FROM `winecellar`.`ortal20`
35,2018-04-16 22:27:04.158880,0.637,SHOW COLUMNS FROM `winecellar`.`ortal40`
36,2018-04-16 22:27:04.548307,0.958,SHOW COLUMNS FROM `winecellar`.`test1`
37,2018-04-16 22:27:04.985915,0.844,SHOW COLUMNS FROM `winecellar`.`test11`
38,2018-04-16 22:27:05.074849,0.41,SHOW COLUMNS FROM `winecellar`.`test12`
39,2018-04-16 22:27:05.181832,0.696,SHOW COLUMNS FROM `winecellar`.`test13`
40,2018-04-16 22:27:05.270237,11.552,SHOW COLUMNS FROM `winecellar`.`test14`
41,2018-04-16 22:27:05.394958,0.763,SHOW COLUMNS FROM `winecellar`.`test15`
42,2018-04-16 22:27:05.518309,0.661,SHOW COLUMNS FROM `winecellar`.`test2`
43,2018-04-16 22:27:05.904930,0.742,SHOW COLUMNS FROM `winecellar`.`test3`
44,2018-04-16 22:27:05.947534,0.489,SHOW COLUMNS FROM `winecellar`.`wine`
45,2018-04-16 22:27:06.069401,0.803,SHOW COLUMNS FROM `winecellar`.`wine_test_1`
46,2018-04-16 22:27:06.518018,1.032,SHOW COLUMNS FROM `winecellar`.`wine_test_11`
47,2018-04-16 22:27:06.614504,0.689,SHOW COLUMNS FROM `winecellar`.`wine_test_2`
48,2018-04-16 22:27:06.718508,0.842,SHOW COLUMNS FROM `winecellar`.`wine_test_21`
49,2018-04-16 22:27:06.764184,0.519,SHOW COLUMNS FROM `winecellar`.`wine_test_22`
50,2018-04-16 22:27:06.816353,0.79,SHOW COLUMNS FROM `winecellar`.`wine_test_23`
51,2018-04-16 22:27:06.871205,0.435,SHOW COLUMNS FROM `winecellar`.`wine_test_24`
52,2018-04-16 22:29:04.555361,0.229,use winecellar
53,2018-04-16 22:29:04.709880,0.624,SHOW COLUMNS FROM wine
54,2018-04-16 22:29:34.492671,0.174,use winecellar
55,2018-04-16 22:29:34.552136,0.599,SHOW FULL COLUMNS FROM `winecellar`.`wine`
56,2018-04-16 22:29:34.573316,0.219,"select * from wine
LIMIT 0, 1000"
57,2018-04-16 22:30:40.641353,0.157,use winecellar
58,2018-04-16 22:31:59.286312,0.216,use winecellar
59,2018-04-16 22:32:38.095200,0.132,use winecellar
60,2018-04-16 22:34:27.865671,0.251,use winecellar
61,2018-04-16 22:40:47.497903,0.079,USE `winecellar`
62,2018-04-16 22:40:47.533600,0.102,use winecellar
