RunningTime,A,B,C,SumOfRunning
2018-04-19 10:03:01.660570,1,0,0,0.11199999999999999
2018-04-19 10:03:03.696048,1,0,0,0.163
2018-04-19 10:03:04.732641,1,0,0,0.158
2018-04-19 10:02:57.056546,0,1,0,10585.032
2018-04-19 10:03:03.129365,0,0,1,4512.563
2018-04-19 10:03:06.771869,1,0,0,3927.2
2018-04-19 10:03:09.683189,0,0,1,1016.09
2018-04-19 10:03:09.683596,0,1,0,10390.396999999999
2018-04-19 10:03:11.818902,0,0,1,8255.41
2018-04-19 10:03:14.576391,1,0,0,8526.28
2018-04-19 10:03:23.199092,0,0,1,0.515
2018-04-19 10:03:23.199647,0,1,0,9246.235
2018-04-19 10:03:25.236778,0,0,1,7209.536
2018-04-19 10:03:35.487828,0,0,1,0.095
2018-04-19 10:03:25.236100,1,0,0,10643.595
2018-04-19 10:03:36.550123,0,0,1,0.091
2018-04-19 10:03:37.584964,1,0,0,0.147
2018-04-19 10:03:37.590670,0,0,1,0.076
2018-04-19 10:03:34.487685,0,1,0,11015.615
2018-04-19 10:03:40.629241,0,0,1,4874.698
2018-04-19 10:03:47.544635,0,0,1,0.147
2018-04-19 10:03:38.624480,1,0,0,9869.337
2018-04-19 10:03:48.573743,0,1,0,9865.2
2018-04-19 10:03:49.584249,0,0,1,8854.841
2018-04-19 10:04:00.480539,0,1,0,0.086
2018-04-19 10:03:51.294449,1,0,0,10275.278
2018-04-19 10:03:59.482856,0,0,1,2087.084
2018-04-19 10:04:02.678939,0,0,1,0.46799999999999997
2018-04-19 10:04:03.518731,0,1,0,0.136
2018-04-19 10:04:05.380753,1,0,0,3230.34
2018-04-19 10:04:05.572346,0,1,0,11786.796999999999
2018-04-19 10:04:05.720830,0,0,1,11638.493
2018-04-19 10:04:10.309399,1,0,0,10205.015
2018-04-19 10:04:18.402591,0,0,1,2111.972
2018-04-19 10:04:20.400746,0,1,0,10270.464
2018-04-19 10:04:21.613796,0,0,1,9057.59
2018-04-19 10:04:32.708261,0,1,0,0.086
2018-04-19 10:04:22.308040,1,0,0,11691.356000000002
2018-04-19 10:04:33.724973,0,0,1,274.638
2018-04-19 10:04:34.744400,0,1,0,0.086
2018-04-19 10:04:36.097087,0,0,1,0.555
2018-04-19 10:04:36.780653,0,1,0,7317.929
2018-04-19 10:04:39.137257,0,0,1,4961.51
2018-04-19 10:04:37.638738,1,0,0,9423.726999999999
2018-04-19 10:04:47.139652,0,0,1,0.10400000000000001
2018-04-19 10:04:47.140027,0,1,0,9680.859
2018-04-19 10:04:48.174921,0,0,1,8646.131
2018-04-19 10:04:58.860601,0,0,1,0.085
2018-04-19 10:04:58.863652,0,1,0,0.094
2018-04-19 10:04:50.104778,1,0,0,9701.162
2018-04-19 10:05:00.900474,0,1,0,0.13699999999999998
2018-04-19 10:05:01.901848,0,0,1,0.175
2018-04-19 10:05:01.935665,0,1,0,0.107
2018-04-19 10:05:02.940015,0,0,1,0.35200000000000004
2018-04-19 10:05:03.487576,1,0,0,0.16
2018-04-19 10:05:03.978958,0,0,1,0.325
2018-04-19 10:05:04.972696,0,1,0,15724.115
2018-04-19 10:05:07.020364,0,0,1,13677.017
2018-04-19 10:05:05.527420,1,0,0,18096.888
2018-04-19 10:05:23.735714,0,0,1,1.005
2018-04-19 10:05:23.736438,0,1,0,11613.4
2018-04-19 10:05:25.778403,0,0,1,9571.663
2018-04-19 10:05:27.429445,1,0,0,10900.846000000001
2018-04-19 10:05:36.385442,0,0,1,1945.036
2018-04-19 10:05:36.387170,0,1,0,9969.909
2018-04-19 10:05:41.431186,0,0,1,4926.083
2018-04-19 10:05:48.398278,0,0,1,0.196
2018-04-19 10:05:41.096545,1,0,0,8233.848
2018-04-19 10:05:47.397141,0,1,0,12334.083
2018-04-19 10:05:49.437429,0,0,1,10294.014000000001
2018-04-19 10:05:52.048265,1,0,0,10780.358
2018-04-19 10:06:02.771216,0,1,0,8159.563
2018-04-19 10:06:02.771741,0,0,1,8159.3369999999995
2018-04-19 10:06:11.969960,0,1,0,0.111
2018-04-19 10:06:05.603628,1,0,0,8292.802
2018-04-19 10:06:13.976156,0,0,1,0.1
2018-04-19 10:06:15.006115,0,1,0,7934.151999999999
2018-04-19 10:06:15.013322,0,0,1,7927.175
2018-04-19 10:06:15.668524,1,0,0,10218.971
2018-04-19 10:06:25.979027,0,1,0,7842.201999999999
2018-04-19 10:06:25.980433,0,0,1,7841.059
2018-04-19 10:06:34.862518,0,1,0,0.10800000000000001
2018-04-19 10:06:28.589363,1,0,0,8510.588
2018-04-19 10:06:38.759360,1,0,0,0.128
2018-04-19 10:06:35.899522,0,1,0,9501.409
